SWITCH_CL,DIM,NAME,CLAVRX_NAME,DTYPE,SCALED,ACT_RANGE1,ACT_RANGE2,VAL_RANGE1,VAL_RANGE2,FILL,ADD_OFFS,STANDARD_NAME,UNITS,LONG_NAME,FLAG_VALUES
1,1,"scan_line_number","scan_number",3,0,0.00000,0.00000,0,0,25,0.00000,"not specified","none","scan line number","none"
1,1,"scan_line_time","utc_scan_time_hours",4,0,0.00000,0.00000,0,0,25,0.00000,"not specified","hours","time for the scan line in fractional hours","none"
1,1,"bad_scan_line_flag","bad_scan_flag",1,0,0.00000,0.00000,0,0,128,0.00000,"","none","","none"
1,1,"asc_des_flag","nav%ascend",1,0,0.00000,0.00000,0,0,128,0.00000,"","none","","none"
1,2,"bad_pixel_mask","bad_pixel_mask",1,0,0.00000,0.00000,0,0,128,0.00000,"not specified","none","mask that distinguishes good(0) from bad(1) pixels","none"
1,2,"gap_pixel_mask","gap_pixel_mask",1,0,0.00000,0.00000,0,0,128,0.00000,"not specified","none","mask that distinguishes not in gap (0) from in-gap(1) pixels","none"
1,2,"packed_pixel_meta_data","special",1,0,0.00000,0.00000,0,0,0,0.00000,"pixel_quality_flags_packed_into_one_byte","none","order_and_depth: bad_pixel_mask(1),solar_contamination_mask(1),ch6_on_pixel_mask(1),Bayes_Mask_Sfc_Type(3)","none"
1,2,"latitude","nav%lat",2,1,-90.0000,90.0000,1,255,0,0.00000,"latitude","degrees_north","latitude","none"
1,2,"longitude","nav%lon",2,1,-180.000,180.000,1,255,0,0.00000,"longitude","degrees_east","longitude","none"
1,2,"latitude_pc","nav%lat_pc",2,1,-90.0000,90.0000,1,255,0,0.00000,"latitude_parallax_corrected","degrees_north","latitude_parallax_corrected_using_cloud_height","none"
1,2,"longitude_pc","nav%lon_pc",2,1,-180.000,180.000,1,255,0,0.00000,"longitude_parallax_corrected","degrees_east","longitude_parallax_corrected_using_cloud_height","none"
1,2,"sensor_zenith_angle","geo%satzen",1,1,0.00000,90.0000,129,127,128,45.0000,"sensor_zenith_angle","degrees","sensor zenith for each pixel measured in degrees from nadir","none"
1,2,"solar_zenith_angle","geo%solzen",1,1,0.00000,180.000,129,127,128,90.0000,"solar_zenith_angle","degrees","solar zenith for each pixel measured in degrees away from the sun (0=looking at sun)","none"
1,2,"relative_azimuth_angle","geo%relaz",1,1,0.00000,180.000,129,127,128,90.0000,"relative_sensor_azimuth_angle","degrees","relative azimuth angle in degrees. 0 is the principal plane looking towards sun","none"
1,2,"solar_azimuth_angle","geo%solaz",1,1,-180.000,180.000,129,127,128,0.00000,"solar_azimuth_angle","degrees","solar azimuth angle in degrees from north, pixel to sun, positive values are clockwise from north","none"
1,2,"sensor_azimuth_angle","geo%sataz",1,1,-180.000,180.000,129,127,128,0.00000,"sensor_azimuth_angle","degrees","sensor azimuth angle in degrees from north, pixel to sensor, positive values are clockwise from north","none"
1,2,"glint_zenith_angle","geo%glintzen",1,1,0.00000,180.000,129,127,128,90.0000,"glint_zenith_angle","degrees","glint zenith for each pixel measured in degrees away from the specular image of sun","none"
1,2,"scattering_angle","geo%scatangle",1,1,0.00000,180.000,129,127,128,90.0000,"scattering_angle","degrees","scattering angle for each pixel measured in degrees away from direction of forward scattering","none"
1,2,"lunar_zenith_angle","geo%lunzen",1,1,0.00000,180.000,129,127,128,90.0000,"lunar_zenith_angle","degrees","lunar zenith for each pixel measured in degrees away from the moon (0=looking at sun)","none"
1,2,"lunar_relative_azimuth_angle","geo%lunrelaz",1,1,0.00000,180.000,129,127,128,90.0000,"lunar_relative_azimuth_angle","degrees","relative azimuth angle in degrees. 0 is the principal plane looking towards moon","none"
1,2,"lunar_azimuth_angle","geo%lunaz",1,1,-180.000,180.000,129,127,128,0.00000,"lunar_azimuth_angle","degrees","lunar azimuth angle in degrees from north","none"
1,2,"glint_mask","sfc%glint_mask",1,0,0.00000,0.00000,0,0,128,0.00000,"not specified","none","glint mask (0=no) (1=yes)","none"
1,2,"coast_mask","sfc%coast_mask",1,0,0.00000,0.00000,0,0,128,0.00000,"not specified","none","coast mask (0=no) (1=yes)","none"
1,2,"cloud_type","cld_type",1,0,0.00000,0.00000,0,0,128,0.00000,"not specified","none","integer classification of the cloud type including clear and aerosol type,0=clear,1=probably clear,2=fog,3=water,4=supercooled water,5=mixed,6=opaque_ice,7=cirrus,8=overlapping,9=overshooting,10=unknown,11=dust,12=smoke","   0"
1,2,"cloud_phase","cld_phase",1,0,0.00000,0.00000,0,0,128,0.00000,"cloud_phase","none","integer classification of the cloud phase including clear and aerosol type,0=clear,1=water,2=supercooled water,3=mixed,4=ice,5=unknown","   1"
1,2,"cloud_type_aux","NOT_SET_YET",1,0,0.00000,0.00000,0,0,128,0.00000,"cloud_type_aux","none","integer classification of the cloud type including clear and aerosol type read from auxiliary data source","   4"
1,2,"cld_height_aux","NOT_SET_YET",2,1,0.00000,20000.0,1,255,0,10000.0,"height_at_cloud_top_aux","m","cloud height from the auxiliary data source","   5"
1,2,"cld_height_sndr","NOT_SET_YET",2,1,0.00000,20000.0,1,255,0,10000.0,"height_at_cloud_top_sndr","m","cloud height from the sounder data source","   6"
1,2,"cld_press_acha","acha%pc",2,1,0.00000,1100.00,1,255,0,550.000,"air_pressure_at_cloud_top","hPa","cloud-top pressure computed using the AWG cloud height algorithm","   7"
1,2,"cld_temp_acha","acha%tc",2,1,160.000,320.000,1,255,0,240.000,"air_temperature_at_cloud_top","K","cloud-top temperature computed using the AWG cloud height algorithm - NOAA CDR","   8"
1,2,"cld_height_acha","acha%zc",2,1,0.00000,20000.0,1,255,0,10000.0,"height_at_cloud_top","m","cloud height computed using the AWG cloud height algorithm","   9"
1,2,"cld_height_top_acha","acha%zc_top",2,1,0.00000,20000.0,1,255,0,10000.0,"top_height_of_cloud","m","estimate of actual cloud-top height computed using the AWG cloud height algorithm","  10"
1,2,"cld_press_top_acha","NOT_SET_YET",2,1,0.00000,1100.00,1,255,0,550.000,"top_press_of_cloud","hPa","estimate of actual cloud-top pressure computed using the AWG cloud height algorithm","  11"
1,2,"cld_press_top_l1_aux","NOT_SET_YET",2,1,0.00000,1100.00,1,255,0,550.000,"top_press_of_cloud_layer1_aux","hPa","estimate of actual cloud-top pressure layer1 read from Aux file","  12"
1,2,"cld_press_top_l2_aux","NOT_SET_YET",2,1,0.00000,1100.00,1,255,0,550.000,"top_press_of_cloud_layer2_aux","hPa","estimate of actual cloud-top pressure layer2 read from Aux file","none"
1,2,"cld_height_base_acha","acha%zc_base",2,1,0.00000,20000.0,1,255,0,10000.0,"base_height_of_cloud","m","estimate of actual cloud-base height computed using the AWG cloud height algorithm","none"
1,2,"cld_press_base_acha","NOT_SET_YET",2,1,0.00000,1100.00,1,255,0,550.000,"base_press_of_cloud","hPa","estimate of actual cloud-base pressure computed using the AWG cloud height algorithm","none"
1,2,"cld_height_lower_acha","NOT_SET_YET",2,1,0.00000,20000.0,1,255,0,10000.0,"height_of_lower_cloud","m","estimate of actual cloud height of lower cloud computed using the AWG cloud height algorithm","none"
1,2,"cld_pressure_lower_acha","NOT_SET_YET",2,1,0.00000,1100.00,1,255,0,550.000,"pressure_of_lower_cloud","hPa","estimate of actual cloud pressure of lower cloud computed using the AWG cloud height algorithm","none"
1,2,"cld_altitude_acha","acha%alt",2,1,0.00000,100000.,1,255,0,50000.0,"altitude_at_cloud_top","feet","cloud height altitude computed from pressure values","none"
1,2,"cld_base_altitude_acha","NOT_SET_YET",2,1,0.00000,100000.,1,255,0,50000.0,"altitude_at_cloud_base","feet","cloud base altitude computed from pressure values","none"
1,2,"acha_processing_order","acha%processing_order",1,0,0.00000,0.00000,0,0,128,0.00000,"acha_processing_order","none","integer classification of the order of processing with ACHA","none"
1,2,"acha_inversion_flag","ACHA%Inversion_Flag",1,0,0.00000,0.00000,0,0,128,0.00000,"acha_inversion_flag","none","flag stating whether ACHA was processed assuming an inversion(1) or not(0)","none"
1,2,"cld_layer","NOT_SET_YET",1,0,0.00000,0.00000,0,0,128,0.00000,"cloud_layer","none","cloud layer: 0-none,1:sfc-642 hpa, 2:642-350 hPa, 3:350 hpa -toa","none"
1,2,"conv_cloud_probability","NOT_SET_YET",1,1,0.00000,1.00000,129,127,128,0.500000,"convective_cloud_probability","none","convective cloud probility: 0-1","none"
1,2,"supercooled_cloud_probability","NOT_SET_YET",1,1,0.00000,1.00000,129,127,128,0.500000,"supercooled_cloud_probability","none","convective cloud probility: 0-1","none"
1,2,"cld_height_h2o","Zc_H2O",2,1,0.00000,20000.0,1,255,0,10000.0,"height_at_cloud_top_from_h2o_intercept","m","cloud-top height computed using the two-point h2o intercept","none"
1,2,"cld_height_opaque","Zc_opaque_cloud",2,1,0.00000,20000.0,1,255,0,10000.0,"height_at_cloud_top_assuming_opaque","m","cloud-top height computed using assuming the cloud is opaque","none"
1,2,"cld_temp_opaque","NOT_SET_YET",2,1,160.000,320.000,1,255,0,240.000,"cloud_top_temperature_opaque","K","cloud top temperature assuming an opaque cloud","none"
1,2,"cld_emiss_acha","acha%ec",1,1,0.00000,1.00000,129,127,128,0.500000,"convective_cloud_longwave_emissivity","none","cloud emissivity at the nominal wavelength of 11 microns, determined from the AWG cloud height algorithm - NOAA CDR","none"
1,2,"cld_beta_acha","acha%beta",1,1,0.00000,2.00000,129,127,128,1.00000,"not specified","none","cloud 11/12 micron beta value determined from the split-window method","none"
1,2,"cld_height_uncer_acha","acha%zc_uncertainty",1,1,0.00000,10000.0,129,127,128,5000.00,"not specified","m","cloud height uncertainty computed using the AWG cloud height algorithm","none"
1,2,"cld_temp_uncer_acha","acha%tc_uncertainty",1,1,0.00000,100.000,129,127,128,50.0000,"not specified","K","cloud temperature uncertainty computed using the AWG cloud height algorithm","none"
1,2,"cld_press_uncer_acha","NOT_SET_YET",1,1,0.00000,1000.00,129,127,128,500.000,"not specified","hPa","cloud pressure uncertainty computed using the AWG cloud height algorithm","none"
1,2,"cld_press_uncer1_aux","NOT_SET_YET",1,1,0.00000,1000.00,129,127,128,500.000,"not specified","hPa","cloud pressure uncertainty layer1 read from the aux","none"
1,2,"cld_press_uncer2_aux","NOT_SET_YET",1,1,0.00000,1000.00,129,127,128,500.000,"not specified","hPa","cloud pressure uncertainty layer2 read from the aux","none"
1,2,"cld_temp_acha_qf","acha%oe_quality_flags_1",1,0,0.00000,0.00000,0,0,128,0.00000,"not specified","none","quality flag for cloud-top temperature from ACHA not attempted=0, failed=1, low quality=2, high quality=3","   0"
1,2,"cld_emiss_acha_qf","acha%oe_quality_flags_2",1,0,0.00000,0.00000,0,0,128,0.00000,"not specified","none","quality flag for 11.0 micron cloud emissivity from ACHA not attempted=0, failed=1, low quality=2, high quality=3","   0"
1,2,"cld_beta_acha_qf","acha%oe_quality_flags_3",1,0,0.00000,0.00000,0,0,128,0.00000,"not specified","none","quality flag for cloud 11.0/12.0 micron beta from ACHA not attempted=0, failed=1, low quality=2, high quality=3","   0"
1,2,"cld_opd_acha","acha%tau",1,1,-0.200000,8.00000,129,127,128,3.90000,"atmosphere_optical_thickness_due_to_cloud","none","cloud optical depth at the nominal wavelength of 0.65 microns, determined from ACHA","   1"
1,2,"cld_reff_acha","acha%reff",1,1,0.00000,160.000,129,127,128,80.0000,"effective_radius_of_cloud_condensed_water_particles_at_cloud_top","micron","effective radius of cloud particles determined from ACHA; see attributes for channels used","   2"
1,2,"acha_quality","ACHA%Packed_Quality_Flags",1,0,0.00000,0.00000,0,0,0,0.00000,"not specified","none","quality flags for ACHA products 1:Processed (0=no,1=yes) 2:valid Tc retrieval (1=yes,0=no) 3:valid ec retrieval (1=yes,0=no) 4:valid beta retrieval (1=yes,0=no) 5:degraded Tc retrieval (1=yes,0=no) 6:degraded ec retrieval (1=yes,0=no) 7:degraded beta retrieval (1=yes,0=no)","   0"
1,2,"acha_info","ACHA%Packed_Meta_Data_Flags",1,0,0.00000,0.00000,0,0,0,0.00000,"not specified","none","processing information for ACHA (0=no/1=yes) 1:Cloud Height Attempted 2:Bias Correction Employed 3:Ice Cloud Retrieval 4:Local Radiative Center Processing Used 5:Multi-layer Retrieval 6:Lower Cloud Interpolation Used 7:Boundary Layer Inversion Assumed","   0"
1,2,"cost_acha","NOT_SET_YET",2,1,0.00000,1000.00,1,255,0,500.000,"cost_acha","none","final cost function value from acha optimal estimation","   1"
1,2,"cost_aux","NOT_SET_YET",2,1,0.00000,1000.00,1,255,0,500.000,"cost_aux","none","final cost function value from aux optimal estimation","none"
1,2,"cld_opd_dcomp","tau_dcomp",2,1,-0.200000,160.000,1,255,0,79.9000,"atmosphere_optical_thickness_due_to_cloud","none","cloud optical depth at the nominal wavelength of 0.65 microns, determined from DCOMP - NOAA CDR","none"
1,2,"cld_opd_dcomp_1","tau_dcomp_1",2,1,-0.200000,160.000,1,255,0,79.9000,"atmosphere_optical_thickness_due_to_cloud","none","cloud optical depth at the nominal wavelength of 0.65 microns, determined from DCOMP - NOAA CDR","none"
1,2,"cld_opd_dcomp_2","tau_dcomp_2",2,1,-0.200000,160.000,1,255,0,79.9000,"atmosphere_optical_thickness_due_to_cloud","none","cloud optical depth at the nominal wavelength of 0.65 microns, determined from DCOMP - NOAA CDR","none"
1,2,"cld_opd_dcomp_3","tau_dcomp_3",2,1,-0.200000,160.000,1,255,0,79.9000,"atmosphere_optical_thickness_due_to_cloud","none","cloud optical depth at the nominal wavelength of 0.65 microns, determined from DCOMP - NOAA CDR","none"
1,2,"cld_opd_aux","NOT_SET_YET",2,1,-0.200000,160.000,1,255,0,79.9000,"atmosphere_optical_thickness_due_to_cloud_aux","none","cloud optical depth at the nominal wavelength of 0.65 microns, read from aux file","none"
1,2,"cld_reff_dcomp","reff_dcomp",2,1,0.00000,160.000,1,255,0,80.0000,"effective_radius_of_cloud_condensed_water_particles_at_cloud_top","micron","effective radius of cloud particles determined from DCOMP; see attributes for channels used - NOAA CDR","none"
1,2,"cld_reff_dcomp_1","reff_dcomp_1",2,1,0.00000,160.000,1,255,0,80.0000,"effective_radius_of_cloud_condensed_water_particles_at_cloud_top","micron","effective radius of cloud particles determined from DCOMP; see attributes for channels used - NOAA CDR","none"
1,2,"cld_reff_dcomp_2","reff_dcomp_2",2,1,0.00000,160.000,1,255,0,80.0000,"effective_radius_of_cloud_condensed_water_particles_at_cloud_top","micron","effective radius of cloud particles determined from DCOMP; see attributes for channels used - NOAA CDR","none"
1,2,"cld_reff_dcomp_3","reff_dcomp_3",2,1,0.00000,160.000,1,255,0,80.0000,"effective_radius_of_cloud_condensed_water_particles_at_cloud_top","micron","effective radius of cloud particles determined from DCOMP; see attributes for channels used - NOAA CDR","none"
1,2,"cld_reff_aux","NOT_SET_YET",2,1,-0.200000,160.000,1,255,0,79.9000,"effective_radius_of_cloud_condensed_water_particles_at_cloud_top","none","effective radius of cloud particles read from aux file","none"
1,2,"cld_opd_dcomp_unc","tau_dcomp_cost",2,1,-0.200000,160.000,1,255,0,79.9000,"not specified","none","uncertainty in the log10 cloud optical depth at the nominal wavelength of 0.65 microns, determined from DCOMP; see attributes for channels used","none"
1,2,"cld_reff_dcomp_unc","reff_dcomp_cost",2,1,0.00000,160.000,1,255,0,80.0000,"not specified","micron","uncertainty in the log10 effective radius of cloud particle determined from DCOMP; see attributes for channels used","none"
1,2,"cld_opd_dcomp_qf","tau_dcomp_qf",1,0,0.00000,0.00000,0,0,128,0.00000,"not specified","none","quality flag for cloud optical depth from DCOMP not attempted=0, failed=1, low quality=2, high quality=3","   0"
1,2,"cld_reff_dcomp_qf","reff_dcomp_qf",1,0,0.00000,0.00000,0,0,128,0.00000,"not specified","none","quality flag for cloud effective radius from DCOMP not attempted=0, failed=1, low quality=2, high quality=3","   0"
1,2,"dcomp_quality","Dcomp_quality_flag",1,0,0.00000,0.00000,0,0,0,0.00000,"not specified","none","quality flags for DCOMP products 1:Processed (0=no,1=yes) 2:valid COD retrieval (0=yes,1=no) 3:valid REF retrieval (0=yes,1=no) 4:degraded COD retrieval (0=no,1=degraded) 5:degraded REF retrieval (0=no,1=degraded) 6:convergency (0=no,1=yes) 7:glint (0=no,1=yes)","   0"
1,2,"dcomp_info","dcomp_info_flag",2,0,0.00000,0.00000,0,0,0,0.00000,"not specified","none","processing flags for DCOMP 1:info flag set ? (0=no,1=yes) 2:land/sea mask (0=land,1=sea) 3:day/night mask (0=Day,1=Night) 4:twilight (65-82 solar zenith) (0=no,1=yes) 5:snow (0=no,1= snow) 6:sea-ice (0=no,1=sea-ice) 7:phase (0=liquid,1=ice) 8:thick_cloud (0=no,1=yes) 9:thin_cloud (0=no,1=yes)","   0"
1,2,"insolation_dcomp","Insolation_Dcomp",2,1,0.00000,1500.00,1,255,0,750.000,"surface_downwelling_shortwave_flux_dcomp","W m-2","surface downwelling shortwave flux computed from the DCOMP cloud properties","   1"
1,2,"insolation_diffuse_dcomp","Insolation_Dcomp_Diffuse",2,1,0.00000,1500.00,1,255,0,750.000,"surface_downwelling_shortwave_flux_diffuse_dcomp","W m-2","diffuse component of the surface downwelling shortwave flux computed from the DCOMP cloud properties","none"
1,2,"cdnc_dcomp","NOT_SET_YET",2,1,0.00000,1000.00,1,255,0,500.000,"cloud_droplet_number_concentration","cm-3","cloud_droplet_number_concentration from DCOMP algorithm","none"
1,2,"hcld_dcomp","NOT_SET_YET",2,1,0.00000,4000.00,1,255,0,2000.00,"geometrical_thickness_of_liquid_clouds","m","geometrical_thickness_of_liquid_clouds based on DCOMP","none"
1,2,"cld_opd_nlcomp","Tau_Nlcomp",2,1,-0.200000,160.000,1,255,0,79.9000,"atmosphere_optical_thickness_due_to_cloud","none","cloud optical depth at the nominal wavelength of 0.65 microns, determined from NLCOMP","none"
1,2,"cld_reff_nlcomp","Reff_Nlcomp",2,1,0.00000,160.000,1,255,0,80.0000,"effective_radius_of_cloud_particle","micron","effective radius of cloud particles determined from NLCOMP; see attributes for channels used","none"
1,2,"cld_opd_nlcomp_unc","Tau_Nlcomp_Cost",2,1,-0.200000,160.000,1,255,0,79.9000,"atmosphere_optical_thickness_due_to_cloud","none","uncertainty in cloud optical depth at the nominal wavelength of 0.65 microns, determined from NLCOMP","none"
1,2,"cld_reff_nlcomp_unc","Reff_Nlcomp_Cost",2,1,0.00000,160.000,1,255,0,80.0000,"effective_radius_of_cloud_particle","micron","effective radius of cloud particle determined from NLCOMP; see attributes for channels used","none"
1,2,"nlcomp_quality","Nlcomp_quality_flag",1,0,0.00000,0.00000,0,0,0,0.00000,"nlcomp_quality","none","quality flags for NLCOMP products  see documentation http://cimss.ssec.wisc.edu/clavr/ 1:Processed (0=no,1=yes) 2:valid COD retrieval (0=yes,1=no) 3:valid REF retrieval (0=yes,1=no) 4:degraded COD retrieval (0=no,1=degraded) 5:degraded REF retrieval (0=no,1=degraded) 6:convergency (0=no,1=yes) 7:glint (0=no,1=yes)","none"
1,2,"nlcomp_info","Nlcomp_Info_Flag",2,0,0.00000,0.00000,0,0,0,0.00000,"nlcomp_info","none","processing flags for NLCOMP see http://cimss.ssec.wisc.edu/clavr/ 1: info flag set ? (0=no,1=yes) 2: land/sea mask (0=land,1=sea) 3: day/night mask (0=Day,1=Night) 4: twilight (65-82 solar zenith) (0=no,1=yes) 5: snow (0=no,1= snow) 6: sea-ice (0=no,1=sea-ice) 7: phase (0=liquid,1=ice) 8: thick_cloud (0=no,1=yes) 9: thin_cloud (0=no,1=yes)","none"
1,2,"cloud_albedo_0_65um_nom","cloud_063um_albedo",1,1,0.00000,1.00000,129,127,128,0.500000,"cloud_albedo","none","cloud albedo at 0.65 microns nominal from DCOMP","none"
1,2,"cloud_transmission_0_65um_nom","cloud_063um_transmission_solar",1,1,0.00000,1.00000,129,127,128,0.500000,"not specified","none","cloud transmission 0.65 microns nominal from DCOMP","none"
1,2,"cloud_fraction","Cloud_Fraction",1,1,0.00000,1.00000,129,127,128,0.500000,"cloud_area_fraction","none","cloud fraction computed over a 3x3 pixel array at the native resolution centered on this pixel","none"
1,2,"cloud_water_path_nwp","Cwp_Nwp_Pix",2,1,0.00000,1200.00,1,255,0,600.000,"cloud_water_path","g m-2","cloud water path computed from NWP ancillary data sources","none"
1,2,"cloud_water_path","Cwp_Dcomp",1,1,0.00000,1200.00,129,127,128,600.000,"not specified","g m-2","integrated total cloud water over whole column","none"
1,2,"rain_rate","Rain_Rate_Dcomp",1,1,0.00000,32.0000,129,127,128,16.0000,"rain_rate","mm h-1","derived rain rate","none"
